index,Company Name,Industry,Symbol
ABB.NS,ABB India Ltd.,Capital Goods,ABB.NS
ACC.NS,ACC Ltd.,Construction Materials,ACC.NS
APLAPOLLO.NS,APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO.NS
AUBANK.NS,AU Small Finance Bank Ltd.,Financial Services,AUBANK.NS
ADANIENSOL.NS,Adani Energy Solutions Ltd.,Power,ADANIENSOL.NS
ADANIENT.NS,Adani Enterprises Ltd.,Metals & Mining,ADANIENT.NS
ADANIGREEN.NS,Adani Green Energy Ltd.,Power,ADANIGREEN.NS
ADANIPORTS.NS,Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS.NS
ADANIPOWER.NS,Adani Power Ltd.,Power,ADANIPOWER.NS
ATGL.NS,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL.NS
ABCAPITAL.NS,Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL.NS
ABFRL.NS,Aditya Birla Fashion and Retail Ltd.,Consumer Services,ABFRL.NS
ALKEM.NS,Alkem Laboratories Ltd.,Healthcare,ALKEM.NS
AMBUJACEM.NS,Ambuja Cements Ltd.,Construction Materials,AMBUJACEM.NS
APOLLOHOSP.NS,Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP.NS
APOLLOTYRE.NS,Apollo Tyres Ltd.,Automobile and Auto Components,APOLLOTYRE.NS
ASHOKLEY.NS,Ashok Leyland Ltd.,Capital Goods,ASHOKLEY.NS
ASIANPAINT.NS,Asian Paints Ltd.,Consumer Durables,ASIANPAINT.NS
ASTRAL.NS,Astral Ltd.,Capital Goods,ASTRAL.NS
AUROPHARMA.NS,Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA.NS
DMART.NS,Avenue Supermarts Ltd.,Consumer Services,DMART.NS
AXISBANK.NS,Axis Bank Ltd.,Financial Services,AXISBANK.NS
BSE.NS,BSE Ltd.,Financial Services,BSE.NS
BAJAJ-AUTO.NS,Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO.NS
BAJFINANCE.NS,Bajaj Finance Ltd.,Financial Services,BAJFINANCE.NS
BAJAJFINSV.NS,Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV.NS
BAJAJHLDNG.NS,Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG.NS
BALKRISIND.NS,Balkrishna Industries Ltd.,Automobile and Auto Components,BALKRISIND.NS
BANDHANBNK.NS,Bandhan Bank Ltd.,Financial Services,BANDHANBNK.NS
BANKBARODA.NS,Bank of Baroda,Financial Services,BANKBARODA.NS
BANKINDIA.NS,Bank of India,Financial Services,BANKINDIA.NS
MAHABANK.NS,Bank of Maharashtra,Financial Services,MAHABANK.NS
BERGEPAINT.NS,Berger Paints India Ltd.,Consumer Durables,BERGEPAINT.NS
BDL.NS,Bharat Dynamics Ltd.,Capital Goods,BDL.NS
BEL.NS,Bharat Electronics Ltd.,Capital Goods,BEL.NS
BHARATFORG.NS,Bharat Forge Ltd.,Automobile and Auto Components,BHARATFORG.NS
BHEL.NS,Bharat Heavy Electricals Ltd.,Capital Goods,BHEL.NS
BPCL.NS,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL.NS
BHARTIARTL.NS,Bharti Airtel Ltd.,Telecommunication,BHARTIARTL.NS
BIOCON.NS,Biocon Ltd.,Healthcare,BIOCON.NS
BOSCHLTD.NS,Bosch Ltd.,Automobile and Auto Components,BOSCHLTD.NS
BRITANNIA.NS,Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA.NS
CGPOWER.NS,CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER.NS
CANBK.NS,Canara Bank,Financial Services,CANBK.NS
CHOLAFIN.NS,Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN.NS
CIPLA.NS,Cipla Ltd.,Healthcare,CIPLA.NS
COALINDIA.NS,Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA.NS
COFORGE.NS,Coforge Ltd.,Information Technology,COFORGE.NS
COLPAL.NS,Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL.NS
CONCOR.NS,Container Corporation of India Ltd.,Services,CONCOR.NS
CUMMINSIND.NS,Cummins India Ltd.,Capital Goods,CUMMINSIND.NS
DLF.NS,DLF Ltd.,Realty,DLF.NS
DABUR.NS,Dabur India Ltd.,Fast Moving Consumer Goods,DABUR.NS
DALBHARAT.NS,Dalmia Bharat Ltd.,Construction Materials,DALBHARAT.NS
DEEPAKNTR.NS,Deepak Nitrite Ltd.,Chemicals,DEEPAKNTR.NS
DELHIVERY.NS,Delhivery Ltd.,Services,DELHIVERY.NS
DIVISLAB.NS,Divi's Laboratories Ltd.,Healthcare,DIVISLAB.NS
DIXON.NS,Dixon Technologies (India) Ltd.,Consumer Durables,DIXON.NS
LALPATHLAB.NS,Dr. Lal Path Labs Ltd.,Healthcare,LALPATHLAB.NS
DRREDDY.NS,Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY.NS
EICHERMOT.NS,Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT.NS
ESCORTS.NS,Escorts Kubota Ltd.,Capital Goods,ESCORTS.NS
NYKAA.NS,FSN E-Commerce Ventures Ltd.,Consumer Services,NYKAA.NS
FEDERALBNK.NS,Federal Bank Ltd.,Financial Services,FEDERALBNK.NS
FACT.NS,Fertilisers and Chemicals Travancore Ltd.,Chemicals,FACT.NS
FORTIS.NS,Fortis Healthcare Ltd.,Healthcare,FORTIS.NS
GAIL.NS,GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL.NS
GMRINFRA.NS,GMR Airports Infrastructure Ltd.,Services,GMRINFRA.NS
GLAND.NS,Gland Pharma Ltd.,Healthcare,GLAND.NS
GODREJCP.NS,Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP.NS
GODREJPROP.NS,Godrej Properties Ltd.,Realty,GODREJPROP.NS
GRASIM.NS,Grasim Industries Ltd.,Construction Materials,GRASIM.NS
